Name;SystemName;ApplicationDeadline;Attributes;Categories;CategoriesClone;CityAddress;CitybreakPackageId;Description;Directions;Duration;EventUrl;ExpirationDate;ExtensionData;ExternalSignupLink;ExternalSignupText;ForeignProductId;ForeignProductIds;GeoNode;Id;Image;ImageClone;ImageId;ImageIds;Images;Introduction;IsHighlight;Latitude;Link1Description;Link1Name;Link1Url;Link2Description;Link2Name;Link2Url;Link3Description;Link3Name;Link3Url;Longitude;MembershipRequired;Occasions;OrganizationId;OrganizerName;Other;ParentProductId;PhoneNumber;PhoneNumberBooking;POIs;PostalCode;Price;ProductReference;ProductType;PublishedDate;Relevance;RevisionDate;SignupRequired;Status;StreetAddress1;SupplierId;TemplateId;TrackingPixelUrl;UrlName;Website;Version
Saga biografen;Saga biografen;;Värde:Saga biografen| Värde:För den som vill se film i en unik byggnad kan Saga i Höganäs erbjuda något få andra biografer kan. | Värde:Redan år 1899 visades film i Sagas lokaler. Det mesta av biografen Sagas interiör är original från 1883 då den ursprungligen byggdes som teaterlokal. Salongens tak, golv, läktare och väggar är desamma och även exteriören är bevarad sedan 1880-talet. Scenen breddades 1965 för att kunna få plats med storbildsformat. Att se filmer i en salong som denna ger en extra dimension till upplevelsen. | Värde:http://www.skanebiografer.nu/saga/| Värde:Köpmansgatan 2| Värde:Höganäs| Värde:263 32| Värde:56,201168| Värde:12,551626| Värde:042-34 95 75| Url: http://images.citybreak.com/image.aspx?ImageId=2330174 ProducedBy: Jessica Persson CopyrightBy: |Värde:+46| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False;Aktiviteter;Aktiviteter;Höganäs;;Redan år 1899 visades film i Sagas lokaler. Det mesta av biografen Sagas interiör är original från 1883 då den ursprungligen byggdes som teaterlokal. Salongens tak, golv, läktare och väggar är desamma och även exteriören är bevarad sedan 1880-talet. Scenen breddades 1965 för att kunna få plats med storbildsformat. Att se filmer i en salong som denna ger en extra dimension till upplevelsen. ;;;;;{};;;;[];Höganäs & Kullabygden;347758;Url: http://images.citybreak.com/image.aspx?ImageId=2330174 ProducedBy: Jessica Persson CopyrightBy: Keywords:;Url: http://images.citybreak.com/image.aspx?ImageId=2330174 ProducedBy: Jessica Persson CopyrightBy: Keywords:;2330174;2330174;Url: http://images.citybreak.com/image.aspx?ImageId=2330174 ProducedBy: Jessica Persson CopyrightBy: Keywords:;För den som vill se film i en unik byggnad kan Saga i Höganäs erbjuda något få andra biografer kan. ;False;56,201168;;;;;;;;;;12,551626;False;;532;;;;042-34 95 75;;;263 32;;;Product;2013-07-08 14:18:57;Regional;;False;Active;Köpmansgatan 2;16609;76;http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=347758&l=1&t=1;Saga_biografen_347758;http://www.skanebiografer.nu/saga/;6
Höganäs Golfklubb;Lerberget Golfklubb;;Värde:Höganäs Golfklubb| Värde:http://www.hoganasgk.se| Värde:Idén är att utveckla golfen till en attraktiv sport som väsentligt bidrar till livlig ungdomsverksamhet och aktiv friskvård för alla åldrar, i vår kommun. Höganäs golfbana är tillgänglig för alla. Höganäs golfbana är en 9 håls fullängdsbana, som är både spännande och utmanande. Den aktiva klubben -Aktiv juniorverksamhet -Fadderverksamhet för nyböjare -Utbildning/träning med klubbens Pro Peter Ohlsson -Damgolfarna tävlar på onsdagar -Seniorgolfarna, 60+ tävlar på tisdagar -Söndagstävlingar Den lättillgängliga kvalitetsbanan -Omtalat välskötta greener, fina fairways -Vattenhinder på många hål -Lätt att komma ut – bollränna gäller -Möjlighet till Pay & Play, med krav på minst en i bollen med min. hcp 36,0 Bankaraktär: Öppen bana parkbana Antal hål: 9 Par: 70 (vid 18 hål) Uthyrning av golfbil: Nej Husvagnsplatser: Viss möjlighet till husvagnsuppställning finns. | Värde:Den lite annorlunda golfklubben. Höganäs GK har gjort...;Golf;Golf;Lerberget;;Idén är att utveckla golfen till en attraktiv sport som väsentligt bidrar till livlig ungdomsverksamhet och aktiv friskvård för alla åldrar, i vår kommun. Höganäs golfbana är tillgänglig för alla. Höganäs golfbana är en 9 håls fullängdsbana, som är både spännande och utmanande. Den aktiva klubben -Aktiv juniorverksamhet -Fadderverksamhet för nyböjare -Utbildning/träning med klubbens Pro Peter Ohlsson -Damgolfarna tävlar på onsdagar -Seniorgolfarna, 60+ tävlar på tisdagar -Söndagstävlingar Den lättillgängliga kvalitetsbanan -Omtalat välskötta greener, fina fairways -Vattenhinder på många hål -Lätt att komma ut – bollränna gäller -Möjlighet till Pay & Play, med krav på minst en i bollen med min. hcp 36,0 Bankaraktär: Öppen bana parkbana Antal hål: 9 Par: 70 (vid 18 hål) Uthyrning av golfbil: Nej Husvagnsplatser: Viss möjlighet till husvagnsuppställning finns. ;;;;;{};;;;[];Höganäs & Kullabygden;347762;Url: http://images.citybreak.com/image.aspx?ImageId=2547777 ProducedBy: Ola Sandberg Strab CopyrightBy: Keywords:;Url: http://images.citybreak.com/image.aspx?ImageId=2547777 ProducedBy: Ola Sandberg Strab CopyrightBy: Keywords:;2547777;2547777,2547778,2547779,2547780,2547781;Url: http://images.citybreak.com/image.aspx?ImageId=2547777 ProducedBy: Ola Sandberg Strab CopyrightBy: Keywords:|Url: http://images.citybreak.com/image.aspx?ImageId=2547778 ProducedBy: Ola Sandberg Strab CopyrightBy: Keywords:|Url: http://images.citybreak.com/image.aspx?ImageId=2547779 ProducedBy: Ola Sandberg Strab CopyrightBy: Keywords:|Url: http://images.citybreak.com/image.aspx?ImageId=2547780 ProducedBy: Ola Sandberg Strab CopyrightBy: Keywords:|Url: http://images.citybreak.com/image.aspx?ImageId=2547781 ProducedBy: Ola Sandberg Strab CopyrightBy: Keywords:;Den lite annorlunda golfklubben. Höganäs GK har gjort golfsportens ursprungsidé till sin affärsidé - sporten och gemenskapen är viktigare än medaljer och pokaler. ;False;56,1834994;;;;;;;;;;12,5668623;False;;532;;;;042-34 04 90;;;263 54;;;Product;2015-06-05 13:31:15;Regional;;False;Active;Friluftsvägen 8;16609;76;http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=347762&l=1&t=1;Lerberget_Golfklubb_347762;http://www.hoganasgk.se;16
Kulturhuset i Kullabygden;Kulturhuset i Kullabygden;;Värde:Kulturhuset i Kullabygden| Värde:Kulturhus ligger i Väsby utanför Höganäs och de arrangerar bland annat olika konstutställningar.| Värde:56,200384024| Värde:12,596522569| Värde:Nygårdavägen 5 Väsby| Värde:Höganäs| Värde:263 91| Värde:0705-88 93 75| Url: http://images.citybreak.com/image.aspx?ImageId=1244292 ProducedBy: CopyrightBy: Jenny Rasmussen |Värde:+46| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False;Gallerier, Övriga tips;Gallerier, Övriga tips;Höganäs;;;;;;;{};;;;[];Höganäs & Kullabygden;347784;Url: http://images.citybreak.com/image.aspx?ImageId=1244292 ProducedBy: CopyrightBy:Jenny Rasmussen Keywords:;Url: http://images.citybreak.com/image.aspx?ImageId=1244292 ProducedBy: CopyrightBy:Jenny Rasmussen Keywords:;1244292;1244292;Url: http://images.citybreak.com/image.aspx?ImageId=1244292 ProducedBy: CopyrightBy:Jenny Rasmussen Keywords:;Kulturhus ligger i Väsby utanför Höganäs och de arrangerar bland annat olika konstutställningar.;False;56,200384024;;;;;;;;;;12,596522569;False;;532;;;;0705-88 93 75;;;263 91;;;Product;2013-07-08 11:24:10;Regional;;False;Active;Nygårdavägen 5 Väsby;16609;76;http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=347784&l=1&t=1;Kulturhuset_i_Kullabygden_347784;;6
Höganäs Sportcenter;Höganäs Sportcenter;;Värde:Höganäs Sportcenter| Värde:I Höganäs Sportcenter kan du uppleva det mesta, allt från bad och lek, till motionssimning och gympass. Eller varför inte njuta en stund i ett av solarierna? För mer information om öppentider och priser ring Höganäs sportcentrum eller besök hemsidan.| Värde:http://www.hoganas.se/sportcenter| Värde:56,18569| Värde:12,56694| Värde:Friluftsvägen 2| Värde:Lerberget| Värde:263 54| Värde:sportcenter@hoganas.se| Url: http://images.citybreak.com/image.aspx?ImageId=2324520 ProducedBy: Elin Göthe CopyrightBy: |Url: http://images.citybreak.com/image.aspx?ImageId=2324563 ProducedBy: Höganäs kommun CopyrightBy: Höganäs kommun |Url: http://images.citybreak.com/image.aspx?ImageId=2507412 ProducedBy: Per-Åke Lang CopyrightBy: |Värde:+46| Värde:042-33 73 64| Värde:False| Värde:False| Värde:True| Värde:False| Värde:False;Bad, Barn/familj, Spa, Sport & äventyr;Bad, Barn/familj, Spa, Sport & äventyr;Lerberget;;;;;;;{};;;;[];Höganäs & Kullabygden;347786;Url: http://images.citybreak.com/image.aspx?ImageId=2507412 ProducedBy: Per-Åke Lang CopyrightBy: Keywords:;Url: http://images.citybreak.com/image.aspx?ImageId=2507412 ProducedBy: Per-Åke Lang CopyrightBy: Keywords:;2507412;2324520,2324563,2507412;Url: http://images.citybreak.com/image.aspx?ImageId=2324520 ProducedBy: Elin Göthe CopyrightBy: Keywords:|Url: http://images.citybreak.com/image.aspx?ImageId=2324563 ProducedBy: Höganäs kommun CopyrightBy:Höganäs kommun Keywords:|Url: http://images.citybreak.com/image.aspx?ImageId=2507412 ProducedBy: Per-Åke Lang CopyrightBy: Keywords:;I Höganäs Sportcenter kan du uppleva det mesta, allt från bad och lek, till motionssimning och gympass. Eller varför inte njuta en stund i ett av solarierna? För mer information om öppentider och priser ring Höganäs sportcentrum eller besök hemsidan.;False;56,18569;;;;;;;;;;12,56694;False;;532;;;;042-33 73 64;;;263 54;;;Product;2013-07-05 16:18:45;Regional;;False;Active;Friluftsvägen 2;16609;76;http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=347786&l=1&t=1;Hoganas_Sportcenter_347786;http://www.hoganas.se/sportcenter;6
Vikens Sjöfartsmuseum;Vikens Sjöfartsmuseum;;Värde:Vikens Sjöfartsmuseum| Värde:Belyser den gamla sjöfartskulturen, vilken satt sin prägel på livet i gamla Viken.| Värde:Utställningen är en hyllning till fiskarna, den visar äldre fiskeföremål, så som garn och nät, men även fasta instängningsredskap som ryssjor. Utställningen ger även information om vilka fiskar som normalt finns i Öresund samt vilka tidpunkter som respektive fiskslag kommer till området. Museet är säsongsöppet. För mer information besök gärna vår hemsida.| Värde:http://www.vikensbyaforening.se/sjof.html| Värde:Hamnplanen| Värde:56,1429109| Värde:12,5781861| Värde:Viken| Värde:260 40| Värde:042-23 77 66| Url: http://images.citybreak.com/image.aspx?ImageId=1244297 ProducedBy: CopyrightBy: Heidie Pålsson |Värde:+46| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False|...;Museer;Museer;Viken;;Utställningen är en hyllning till fiskarna, den visar äldre fiskeföremål, så som garn och nät, men även fasta instängningsredskap som ryssjor. Utställningen ger även information om vilka fiskar som normalt finns i Öresund samt vilka tidpunkter som respektive fiskslag kommer till området. Museet är säsongsöppet. För mer information besök gärna vår hemsida.;;;;;{};;;;[];Höganäs & Kullabygden;347790;Url: http://images.citybreak.com/image.aspx?ImageId=1244297 ProducedBy: CopyrightBy:Heidie Pålsson Keywords:;Url: http://images.citybreak.com/image.aspx?ImageId=1244297 ProducedBy: CopyrightBy:Heidie Pålsson Keywords:;1244297;1244297;Url: http://images.citybreak.com/image.aspx?ImageId=1244297 ProducedBy: CopyrightBy:Heidie Pålsson Keywords:;Belyser den gamla sjöfartskulturen, vilken satt sin prägel på livet i gamla Viken.;False;56,1429109;;;;;;;;;;12,5781861;False;;532;;;;042-23 77 66;;;260 40;;;Product;2015-06-08 13:53:04;Regional;;False;Active;Hamnplanen;16609;76;http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=347790&l=1&t=1;Vikens_Sjofartsmuseum_347790;http://www.vikensbyaforening.se/sjof.html;8
Mölle Fiskrökeri - Höganäs Fiskaffär;Mölle Fiskrökeri - Höganäs Fiskaffär;;Värde:Mölle Fiskrökeri - Höganäs Fiskaffär| Värde:Fiskrökeri med försäljning över disk samt en restaurang. Mölle Fiskrökeri är placerat vid Höganäs Outlet-område. | Värde:http://www.mollefiskrokeri.se| Värde:56,2124099| Värde:12,5591932| Värde:Keramikgatan 2| Värde:Höganäs| Värde:263 39| Värde:(0)42-33 13 32| Värde:+46| Url: http://images.citybreak.com/image.aspx?ImageId=2349716 ProducedBy: Calle Hemström CopyrightBy: |Url: http://images.citybreak.com/image.aspx?ImageId=2349717 ProducedBy: Calle Hemström CopyrightBy: |Url: http://images.citybreak.com/image.aspx?ImageId=2349718 ProducedBy: Calle Hemström CopyrightBy: |Url: http://images.citybreak.com/image.aspx?ImageId=2349720 ProducedBy: Calle Hemström CopyrightBy: |Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False;Restaurang;Restaurang;Höganäs;;;;;;;{};;;;[];Höganäs & Kullabygden;347792;Url: http://images.citybreak.com/image.aspx?ImageId=2349716 ProducedBy: Calle Hemström CopyrightBy: Keywords:;Url: http://images.citybreak.com/image.aspx?ImageId=2349716 ProducedBy: Calle Hemström CopyrightBy: Keywords:;2349716;2349716,2349717,2349718,2349720;Url: http://images.citybreak.com/image.aspx?ImageId=2349716 ProducedBy: Calle Hemström CopyrightBy: Keywords:|Url: http://images.citybreak.com/image.aspx?ImageId=2349717 ProducedBy: Calle Hemström CopyrightBy: Keywords:|Url: http://images.citybreak.com/image.aspx?ImageId=2349718 ProducedBy: Calle Hemström CopyrightBy: Keywords:|Url: http://images.citybreak.com/image.aspx?ImageId=2349720 ProducedBy: Calle Hemström CopyrightBy: Keywords:;Fiskrökeri med försäljning över disk samt en restaurang. Mölle Fiskrökeri är placerat vid Höganäs Outlet-område. ;False;56,2124099;;;;;;;;;;12,5591932;False;;532;;;;(0)42-33 13 32;;;263 39;;;Product;2015-05-22 17:32:34;Regional;;False;Active;Keramikgatan 2;16609;77;http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=347792&l=1&t=1;Molle_Fiskrokeri_-_Hoganas_Fiskaffar_347792;http://www.mollefiskrokeri.se;10
Nilssons Matbod;Nilssons Matbod;;"Värde:Nilssons Matbod| Värde:Nilssons Matbod erbjuder catering för tillfällen såsom; fest, invigning, middag, födelsedagsfest, student med mera.| Värde:Gediget hantverk utfört av yrkesmän och kvinnor, som sätter sin heder i att leverera förstklassiga produkter.| Värde:http://www.nilssonsmatbod.com| Värde:56,1844078| Värde:12,6350761| Värde:Ingelsträde Byaväg 42| Värde:Höganäs| Värde:263 91| Värde:info@nilssonsmatbod.com| Värde:0738-53 89 49| Url: http://images.citybreak.com/image.aspx?ImageId=1244300 ProducedBy: CopyrightBy: Nilssonsmatbod |Värde:+46| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False";Restaurang;Restaurang;Höganäs;;Gediget hantverk utfört av yrkesmän och kvinnor, som sätter sin heder i att leverera förstklassiga produkter.;;;;;{};;;;[];Höganäs & Kullabygden;347797;Url: http://images.citybreak.com/image.aspx?ImageId=1244300 ProducedBy: CopyrightBy:Nilssonsmatbod Keywords:;Url: http://images.citybreak.com/image.aspx?ImageId=1244300 ProducedBy: CopyrightBy:Nilssonsmatbod Keywords:;1244300;1244300;Url: http://images.citybreak.com/image.aspx?ImageId=1244300 ProducedBy: CopyrightBy:Nilssonsmatbod Keywords:;"Nilssons Matbod erbjuder catering för tillfällen såsom; fest, invigning, middag, födelsedagsfest, student med mera.";False;56,1844078;;;;;;;;;;12,6350761;False;;532;;;;0738-53 89 49;;;263 91;;;Product;2013-07-04 17:27:07;Regional;;False;Active;Ingelsträde Byaväg 42;16609;77;http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=347797&l=1&t=1;Nilssons_Matbod_347797;http://www.nilssonsmatbod.com;6
Ulla Molins Trädgård;Ulla Molins Trädgård;;Värde:Ulla Molins Trädgård| Värde:Besök den kända trädgårdsprofilen Ulla Molins trädgård i Höganäs. Trädgården blev kulturminnesförklarad våren 2010. Privatägd, visas efter överenskommelse.| Värde:Den kända trädgårdsprofilen Ulla Molins trädgård i Höganäs blev kulturminnesförklarad våren 2010. Ulla Molin bodde i Höganäs kommun sedan mitten av 1960-talet, först i det ombyggda sommarhuset i Ingelsträde, och de sista nitton åren på Tallgatan i Höganäs, av många ansedd som mästerverket bland hennes trädgårdar. Efter flytten till Skåne drev Ulla Molin under fyra år Gröna Gården i Helsingborg, en rådgivnings- och inspirationsverkstad långt före sin tid. Ulla Molin var varken trädgårdsmästare eller trädgårdsarkitekt men är kanske ändå en av de trädgårdspersonligheter som betytt mest för trädgårdsskapandet i Sverige. För visning av trädgården, kontakta Christina Ekman Ljungström och Hans Ljungström. Max 25 personer/grupp per visningstillfälle. | Värde:56,1943271| Värde:12,5586401|...;Kulturmiljö, Park/trädgård;Kulturmiljö, Park/trädgård;Höganäs;;Den kända trädgårdsprofilen Ulla Molins trädgård i Höganäs blev kulturminnesförklarad våren 2010. Ulla Molin bodde i Höganäs kommun sedan mitten av 1960-talet, först i det ombyggda sommarhuset i Ingelsträde, och de sista nitton åren på Tallgatan i Höganäs, av många ansedd som mästerverket bland hennes trädgårdar. Efter flytten till Skåne drev Ulla Molin under fyra år Gröna Gården i Helsingborg, en rådgivnings- och inspirationsverkstad långt före sin tid. Ulla Molin var varken trädgårdsmästare eller trädgårdsarkitekt men är kanske ändå en av de trädgårdspersonligheter som betytt mest för trädgårdsskapandet i Sverige. För visning av trädgården, kontakta Christina Ekman Ljungström och Hans Ljungström. Max 25 personer/grupp per visningstillfälle. ;;;;;{};;;;[];Höganäs & Kullabygden;347801;Url: http://images.citybreak.com/image.aspx?ImageId=2507702 ProducedBy: Christina Ekman Ljungström CopyrightBy: Keywords:;Url: http://images.citybreak.com/image.aspx?ImageId=2507702 ProducedBy: Christina Ekman Ljungström CopyrightBy: Keywords:;2507702;2330231,2330233,2507702;Url: http://images.citybreak.com/image.aspx?ImageId=2330231 ProducedBy: Christina Ekman Ljungström CopyrightBy: Keywords:|Url: http://images.citybreak.com/image.aspx?ImageId=2330233 ProducedBy: CopyrightBy: Keywords:|Url: http://images.citybreak.com/image.aspx?ImageId=2507702 ProducedBy: Christina Ekman Ljungström CopyrightBy: Keywords:;Besök den kända trädgårdsprofilen Ulla Molins trädgård i Höganäs. Trädgården blev kulturminnesförklarad våren 2010. Privatägd, visas efter överenskommelse.;False;56,1943271;;;;;;;;;;12,5586401;False;;532;;;;070-421 82 01, 042-21 81 61;;;263 32;;;Product;2013-07-08 15:44:05;Regional;;False;Active;Tallgatan 6;16609;76;http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=347801&l=1&t=1;Ulla_Molins_Tradgard_347801;;6
Farhults kyrka;Farhults kyrka;;Värde:Farhults kyrka| Värde:Kyrkan är från slutet av 1100-talet. Kalkmålningar i absidvalven från 1300-talet och altarstakar är från 1500-talets början.| Värde:http://www.svenskakyrkan.se/farhult-jonstorps-forsamling| Värde:Jonstorp| Värde:263 92| Värde:farhult.pastorat@svenskakyrkan.se| Värde:042-680 01 | Värde:56,2133128| Värde:12,7101217| Url: http://images.citybreak.com/image.aspx?ImageId=1244322 ProducedBy: CopyrightBy: Höganäs turistbyrå |Url: http://images.citybreak.com/image.aspx?ImageId=1244308 ProducedBy: CopyrightBy: Höganäs turistbyrå |Värde:Farhultsvägen 52| Värde:14| Värde:+46| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False;Kyrkor;Kyrkor;Jonstorp;;;;;;;{};;;;[];Höganäs & Kullabygden;347803;Url: http://images.citybreak.com/image.aspx?ImageId=1244322 ProducedBy: CopyrightBy:Höganäs turistbyrå Keywords:;Url: http://images.citybreak.com/image.aspx?ImageId=1244322 ProducedBy: CopyrightBy:Höganäs turistbyrå Keywords:;1244322;1244322,1244308;Url: http://images.citybreak.com/image.aspx?ImageId=1244322 ProducedBy: CopyrightBy:Höganäs turistbyrå Keywords:|Url: http://images.citybreak.com/image.aspx?ImageId=1244308 ProducedBy: CopyrightBy:Höganäs turistbyrå Keywords:;Kyrkan är från slutet av 1100-talet. Kalkmålningar i absidvalven från 1300-talet och altarstakar är från 1500-talets början.;False;56,2133128;;;;;;;;;;12,7101217;False;;532;;;;042-680 01 ;;;263 92;;;Product;2013-07-08 14:53:07;Regional;;False;Active;Farhultsvägen 52;16609;76;http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=347803&l=1&t=1;Farhults_kyrka_347803;http://www.svenskakyrkan.se/farhult-jonstorps-forsamling;7
Prego;Prego;;Värde:Prego| Värde:Restaurang och pizzeria med italienska influenser. Det serveras riktig mozzarellaost, färska kryddor och stenugnsbakat bland mycket annat.| Värde:http://pregoviken.se/| Värde:56,1446028| Värde:12,5753647| Värde:Bygatan 28| Värde:Viken| Värde:260 40| Värde:042-23 73 80| Url: http://images.citybreak.com/image.aspx?ImageId=1244319 ProducedBy: CopyrightBy: Jenny Rasmussen |Värde:+46| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False;Restaurang;Restaurang;Viken;;;;;;;{};;;;[];Höganäs & Kullabygden;347805;Url: http://images.citybreak.com/image.aspx?ImageId=1244319 ProducedBy: CopyrightBy:Jenny Rasmussen Keywords:;Url: http://images.citybreak.com/image.aspx?ImageId=1244319 ProducedBy: CopyrightBy:Jenny Rasmussen Keywords:;1244319;1244319;Url: http://images.citybreak.com/image.aspx?ImageId=1244319 ProducedBy: CopyrightBy:Jenny Rasmussen Keywords:;Restaurang och pizzeria med italienska influenser. Det serveras riktig mozzarellaost, färska kryddor och stenugnsbakat bland mycket annat.;False;56,1446028;;;;;;;;;;12,5753647;False;;532;;;;042-23 73 80;;;260 40;;;Product;2013-07-05 10:53:15;Regional;;False;Active;Bygatan 28;16609;77;http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=347805&l=1&t=1;Prego_347805;http://pregoviken.se/;6
Höganäs Korpen;Höganäs Korpen;;Värde:Höganäs Korpen| Värde:http://www3.idrottonline.se/KorpforeningHoganas-Korpen/| Värde:Aktiviteter: Tipspromendarer, Kullahjul, Hamn till Hamn, Gympa, Golf, Fotboll, Bowling, Busruset, Bamseloppet, Tennis, Bandy. Besök gärna vår hemsida för mer information om våra aktiviteter.| Värde:56,1986701| Värde:12,5797046| Värde:Svarvaregatan 6 B| Värde:Höganäs| Värde:263 36| Värde:hoganaskorpen@hotmail.se| Url: http://images.citybreak.com/image.aspx?ImageId=1244311 ProducedBy: CopyrightBy: Veronika Ahlin |Värde:+46| Värde:042-33 09 10| Värde:8| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False;Aktiviteter, Sport & äventyr;Aktiviteter, Sport & äventyr;Höganäs;;;;;;;{};;;;[];Höganäs & Kullabygden;347809;Url: http://images.citybreak.com/image.aspx?ImageId=1244311 ProducedBy: CopyrightBy:Veronika Ahlin Keywords:;Url: http://images.citybreak.com/image.aspx?ImageId=1244311 ProducedBy: CopyrightBy:Veronika Ahlin Keywords:;1244311;1244311;Url: http://images.citybreak.com/image.aspx?ImageId=1244311 ProducedBy: CopyrightBy:Veronika Ahlin Keywords:;Aktiviteter: Tipspromendarer, Kullahjul, Hamn till Hamn, Gympa, Golf, Fotboll, Bowling, Busruset, Bamseloppet, Tennis, Bandy. Besök gärna vår hemsida för mer information om våra aktiviteter.;False;56,1986701;;;;;;;;;;12,5797046;False;;532;;;;042-33 09 10;;;263 36;;;Product;2012-07-03 09:59:39;Regional;;False;Active;Svarvaregatan 6 B;16609;76;http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=347809&l=1&t=1;Hoganas_Korpen_347809;http://www3.idrottonline.se/KorpforeningHoganas-Korpen/;4
Brunnby Boställe;Brunnby Boställe;;Värde:Brunnby Boställe| Värde:Brunnby Boställes gårdsbutik i Nyhamnsläge har försäljning av egna köttprodukter och grönsaker.| Värde:http://www.brunnbybostalle.se| Värde:gårdsbutik| Värde:Brunnby Boställe| Värde:Brunnby Boställe föder upp nötboskap, utegrisar och lamm, sköter värdefulla betesmarker med hjälp av nöt och får, hyr ut betesdjur samt säljer kött och lokalproducerade produkter i egen gårdsbutik. | Värde:56,261334255| Värde:12,576557546| Värde:Norra Kustvägen 1009| Värde:Nyhamnsläge| Värde:260 41| Värde:info@brunnbybostalle.se| Värde:(0)42-34 66 02| Url: http://images.citybreak.com/image.aspx?ImageId=2533831 ProducedBy: Jenny Rasmussen CopyrightBy: |Värde:+46| Värde:60| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:True| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:False| Värde:Fals...;Gårdsbutik, Kafé;Gårdsbutik, Kafé;Nyhamnsläge;;Brunnby Boställe föder upp nötboskap, utegrisar och lamm, sköter värdefulla betesmarker med hjälp av nöt och får, hyr ut betesdjur samt säljer kött och lokalproducerade produkter i egen gårdsbutik. ;;;;;{};;;;[];Höganäs & Kullabygden;347811;Url: http://images.citybreak.com/image.aspx?ImageId=2533831 ProducedBy: Jenny Rasmussen CopyrightBy: Keywords:;Url: http://images.citybreak.com/image.aspx?ImageId=2533831 ProducedBy: Jenny Rasmussen CopyrightBy: Keywords:;2533831;2533831;Url: http://images.citybreak.com/image.aspx?ImageId=2533831 ProducedBy: Jenny Rasmussen CopyrightBy: Keywords:;Brunnby Boställes gårdsbutik i Nyhamnsläge har försäljning av egna köttprodukter och grönsaker.;False;56,261334255;;;;;;;;;;12,576557546;False;;532;;;;(0)42-34 66 02;;;260 41;;;Product;2015-06-05 16:22:20;Regional;;False;Active;Norra Kustvägen 1009;16609;76;http://lab.tracking.info.citybreak.com/tracking/pixel.gif?o=532&c=253&p=347811&l=1&t=1;Brunnby_Bostalle_347811;http://www.brunnbybostalle.se;8
